domain,series_id,t,y,product,lat,lon
subsidence,4Kdbj5ZSD2,2021-07-29,-2.9000001,A02-075,38.6035881,-28.75266647
subsidence,4Kdbj5ZSD2,2021-08-04,-4.5999999,A02-075,38.6035881,-28.75266647
subsidence,4Kdbj5ZSD2,2021-08-10,5.69999981,A02-075,38.6035881,-28.75266647
subsidence,4Kdbj5ZSD2,2021-08-16,10.5,A02-075,38.6035881,-28.75266647
subsidence,4Kdbj5ZSD2,2021-08-22,5.80000019,A02-075,38.6035881,-28.75266647
subsidence,4Kdbj5ZSD2,2021-08-28,3.29999995,A02-075,38.6035881,-28.75266647
subsidence,4Kdbj5ZSD2,2021-09-03,0.80000001,A02-075,38.6035881,-28.75266647
subsidence,4Kdbj5ZSD2,2021-09-09,0.40000001,A02-075,38.6035881,-28.75266647
subsidence,4Kdbj5ZSD2,2021-09-15,4.0,A02-075,38.6035881,-28.75266647
subsidence,4Kdbj5ZSD2,2021-09-21,0.80000001,A02-075,38.6035881,-28.75266647
subsidence,4Kdbj5ZSD2,2021-09-27,4.19999981,A02-075,38.6035881,-28.75266647
subsidence,4Kdbj5ZSD2,2021-10-03,5.5,A02-075,38.6035881,-28.75266647
subsidence,4Kdbj5ZSD2,2021-10-09,4.19999981,A02-075,38.6035881,-28.75266647
subsidence,4Kdbj5ZSD2,2021-10-15,6.5999999,A02-075,38.6035881,-28.75266647
subsidence,4Kdbj5ZSD2,2021-10-21,5.5999999,A02-075,38.6035881,-28.75266647
subsidence,4Kdbj5ZSD2,2021-10-27,0.5,A02-075,38.6035881,-28.75266647
subsidence,4Kdbj5ZSD2,2021-11-02,6.5,A02-075,38.6035881,-28.75266647
subsidence,4Kdbj5ZSD2,2021-11-08,4.69999981,A02-075,38.6035881,-28.75266647
subsidence,4Kdbj5ZSD2,2021-11-14,8.0,A02-075,38.6035881,-28.75266647
subsidence,4Kdbj5ZSD2,2021-11-20,6.9000001,A02-075,38.6035881,-28.75266647
subsidence,4Kdbj5ZSD2,2021-11-26,3.9000001,A02-075,38.6035881,-28.75266647
subsidence,4Kdbj5ZSD2,2021-12-02,5.5999999,A02-075,38.6035881,-28.75266647
subsidence,4Kdbj5ZSD2,2021-12-08,0.60000002,A02-075,38.6035881,-28.75266647
subsidence,4Kdbj5ZSD2,2021-12-14,2.0999999,A02-075,38.6035881,-28.75266647
subsidence,4Kdbj5ZSD2,2021-12-20,3.29999995,A02-075,38.6035881,-28.75266647
subsidence,4Kdbj5ZSD2,2022-01-01,5.5999999,A02-075,38.6035881,-28.75266647
subsidence,4Kdbj5ZSD2,2022-01-13,0.80000001,A02-075,38.6035881,-28.75266647
subsidence,4Kdbj5ZSD2,2022-01-25,3.29999995,A02-075,38.6035881,-28.75266647
subsidence,4Kdbj5ZSD2,2022-02-06,2.5999999,A02-075,38.6035881,-28.75266647
subsidence,4Kdbj5ZSD2,2022-02-18,2.29999995,A02-075,38.6035881,-28.75266647
